テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力/データ,手順,期待結果,確認方法/証跡,関連質問ID,仕様,リスクID,状態,実行結果,実行日時,実行コマンド,Bug ID,実行メモ
TC-CB-001,TD001,TV001,TA001,コードベース,Unit,高,手取り計算代表値,HTMLから関数を読み込める,"年収3,000,000/4,000,000/10,000,000円",`calculateNetMonthly()` を呼び、仕様式の独立期待値と比較,各月手取りが±0.01円以内で一致,node test結果,なし,F001,R001,作成済み,Pass,20260531180327,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-002,TD002,TV002,TA001,コードベース,Unit,高,手取り計算のゼロ・課税所得境界,同上,年収0円、課税所得0円付近,境界値で関数を呼ぶ,仕様式どおり課税所得が0未満にならず、月手取りが一致,node test結果,なし,F001,R001,作成済み,Pass,20260531180327,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-003,TD002,TV002,TA001,コードベース,Unit,高,所得税ブラケット境界,同上,"課税所得1,950,000/3,300,000/6,950,000円の直前・境界・直後",年収を逆算して関数を呼ぶ,税率境界で過不足なく段階課税される,node test結果,なし,F001,R001,作成済み,Pass,20260531180327,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-004,TD003,TV003,TA001,コードベース,Unit,中,不正数値のフォールバック方針,DOM取得相当のパースを確認できる,空欄、文字列、非有限値、負値,仕様の不正値処理と関数呼び出しを確認,空欄/文字列/非有限値は0、負値は例外停止なし,node test結果,なし,7.2,R001,作成済み,Fail,20260531180327,npm run test:codebase,BUG-001,実行ログでテストケースIDの失敗を確認
TC-CB-005,TD004,TV004,TA001,コードベース,Unit,高,内部値と表示丸め,HTMLから関数を読み込める,小数月手取りが発生する年収,内部値と表示用丸め値を比較,内部値は±0.01円、表示は整数丸めと桁区切りで判定可能,node test結果,なし,F001、3.1.3,"R001, R006",作成済み,Pass,20260531180327,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-006,TD005,TV005,TA002,コードベース,Unit,高,各期間の収入種別,イベント発生率0,現役、退職後、年金受給を含む最小期間,`simulateRetirement()` を呼ぶ,給与、退職後収入、年金の行が年齢条件どおり出る,node test結果,なし,F002,R002,作成済み,Pass,20260531180327,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-007,TD006,TV006,TA002,コードベース,Unit,高,退職・年金開始境界,イベント発生率0,退職年齢直前/退職年齢/年金開始年齢,境界年齢の出力行を確認,境界の月で収入種別が仕様どおり切り替わる,node test結果,なし,F002,R002,作成済み,Pass,20260531180327,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-008,TD007,TV007,TA002,コードベース,Unit,高,年金開始が退職年齢以前,イベント発生率0,`retirementAge=65`、`pensionStartAge=60`,退職前後の出力行を確認,65歳未満は給与、65歳以降は年金になる,node test結果,なし,F002,R002,作成済み,Pass,20260531180327,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-009,TD008,TV008,TA002,コードベース,Unit,中,100歳までの生成範囲,イベント発生率0,`startAge=30/100/101`,出力の月見出し数を数える,30は852か月、100は12か月、101は0か月で例外なし,node test結果,なし,F002、5.2,"R002, R003",作成済み,Pass,20260531180327,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-010,TD009,TV009,TA002,コードベース,Unit,高,年初利息の適用,イベント発生率0、生活費0,`initialInv=100000`、年利10%、複数年,利息行と投資残高を確認,開始年齢の翌年以降の1月だけ年利が適用される,node test結果,なし,5.1,"R002, R009",作成済み,Pass,20260531180327,npm run test:codebase,,実行ログでテストケースIDの成功を確認
