テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力/データ,手順,期待結果,確認方法/証跡,関連質問ID,仕様,リスクID,状態,実行結果,実行日時,実行コマンド,ブラウザ/プロジェクト結果,Bug ID,実行メモ
TC-E2E-001,TD003,TV003,TA001,E2E自動,E2E,中,年収異常値 - 負の年収,対象HTMLをブラウザ自動テストで開けること,"salary=-3,000,000円、その他はデフォルト値","年収欄に-3,000,000を入力して開始し、コンソールエラーと結果表示を確認する。",NaN、Infinity、JavaScript例外でシミュレーションが停止せず、結果表示エリアが更新されること,E2E実行ログ、スクリーンショット、コンソールログ,なし,`spec/仕様書.md` 7.2、11.1,"R001, R006",作成済み,Pass,20260531142100,npx playwright test --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-002,TD003,TV003,TA001,E2E自動,E2E,中,年収異常値 - 空欄,対象HTMLをブラウザ自動テストで開けること,salaryを空欄、その他はデフォルト値,年収欄を空欄にして開始し、コンソールエラーと結果表示を確認する。,salaryが0相当にフォールバックされ、NaN、Infinity、JavaScript例外でシミュレーションが停止しないこと,E2E実行ログ、スクリーンショット、コンソールログ,なし,`spec/仕様書.md` 7.2、11.1,"R001, R006",作成済み,Pass,20260531142100,npx playwright test --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-003,TD003,TV003,TA001,E2E自動,E2E,中,年収異常値 - 極端に大きい年収,対象HTMLをブラウザ自動テストで開けること,"salary=100,000,000円、その他はデフォルト値","年収欄に100,000,000を入力して開始し、コンソールエラーと結果表示を確認する。",JavaScript例外で停止せず、結果内の金額がNaNまたはInfinityにならないこと,E2E実行ログ、スクリーンショット、コンソールログ,なし,`spec/仕様書.md` 7.2、11.1,"R001, R006",作成済み,Pass,20260531142100,npx playwright test --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-008,TD007,TV007,TA002,E2E自動,E2E,中,開始年齢境界 - 開始年齢0歳,対象HTMLをブラウザ自動テストで開けること,開始年齢0歳,ブラウザ自動テストで「開始年齢0歳」を設定し、ブラウザで実行し、出力行数、停止有無、コンソールエラーを確認する。,ループ回数と結果表示が許容範囲に収まり、操作不能にならないこと,E2E実行ログ、スクリーンショット、コンソールログ,なし,`spec/仕様書.md` 2.2 F002、11.2,"R002, R006",作成済み,Pass,20260531142100,npx playwright test --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-009,TD007,TV007,TA002,E2E自動,E2E,中,開始年齢境界 - 100歳,対象HTMLをブラウザ自動テストで開けること,100歳,ブラウザ自動テストで「100歳」を設定し、ブラウザで実行し、出力行数、停止有無、コンソールエラーを確認する。,ループ回数と結果表示が許容範囲に収まり、操作不能にならないこと,E2E実行ログ、スクリーンショット、コンソールログ,なし,`spec/仕様書.md` 2.2 F002、11.2,"R002, R006",作成済み,Pass,20260531142100,npx playwright test --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-010,TD007,TV007,TA002,E2E自動,E2E,中,開始年齢境界 - 101歳,対象HTMLをブラウザ自動テストで開けること,101歳,ブラウザ自動テストで「101歳」を設定し、ブラウザで実行し、出力行数、停止有無、コンソールエラーを確認する。,ループ回数と結果表示が許容範囲に収まり、操作不能にならないこと,E2E実行ログ、スクリーンショット、コンソールログ,なし,`spec/仕様書.md` 2.2 F002、11.2,"R002, R006",作成済み,Fail,20260531142100,npx playwright test --reporter=json,"chromium:Fail(failed), firefox:Fail(failed), webkit:Fail(failed)",E2E-BUG-001,"Playwright JSONで対象テストケースIDの失敗を確認: chromium: Error: [2mexpect([22m[31mlocator[39m[2m).not.[22mtoHaveText[2m([22m[32mexpected[39m[2m)[22m failed

Locator:  locator('#output')
Expected: not [32m""""[39m
Received: [31m""""[39m
Timeout:  5000ms

Call log:
[2m  - Expect ""not toHaveText"" with timeout 5000ms[22m
[2m  - waiting for locator('#output')[22m
[2m    14 × locator resolved to <div id=""output""></div>[22m
[2m       - unexpected value """"[22m Error: [2mexpect([22m[31mlocator[39m[2m).not.[22mtoHaveText[2m([22m[32mexpected[39m[2m)[22m failed

Locator:  locator('#output')
Expected: not [32m""""[39m
Received: [31m""""[39m
Timeout:  5000ms

Call log:
[2m  - Expect ""not toHaveText"" with timeout 5000ms[22m
[2m"
TC-E2E-011,TD007,TV007,TA002,E2E自動,E2E,中,開始年齢境界 - 負値,対象HTMLをブラウザ自動テストで開けること,負値,ブラウザ自動テストで「負値」を設定し、ブラウザで実行し、出力行数、停止有無、コンソールエラーを確認する。,ループ回数と結果表示が許容範囲に収まり、操作不能にならないこと,E2E実行ログ、スクリーンショット、コンソールログ,なし,`spec/仕様書.md` 2.2 F002、11.2,"R002, R006",作成済み,Pass,20260531142100,npx playwright test --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-012,TD010,TV010,TA003,E2E自動,E2E,高,投資率境界 - 投資率0%,対象HTMLをブラウザ自動テストで開けること,"investRate=0%、salary=3,000,000円、その他はデフォルト値",投資率欄に0を入力して開始し、現金・投資残高を確認する。,給与月の投資額が0円になり、月手取りから生活費差引後の残額が現金へ加算されること,E2E実行ログ、スクリーンショット、コンソールログ,なし,`spec/仕様書.md` 3.1.2、7.2,"R003, R006",作成済み,Pass,20260531142100,npx playwright test --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-013,TD010,TV010,TA003,E2E自動,E2E,高,投資率境界 - 100%,対象HTMLをブラウザ自動テストで開けること,"investRate=100%、salary=3,000,000円、その他はデフォルト値",投資率欄に100を入力して開始し、現金・投資残高を確認する。,給与月の投資額が月手取り全額になり、生活費差引により現金不足が起きても結果生成が継続すること,E2E実行ログ、スクリーンショット、コンソールログ,なし,`spec/仕様書.md` 3.1.2、7.2,"R003, R006",作成済み,Pass,20260531142100,npx playwright test --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-014,TD010,TV010,TA003,E2E自動,E2E,高,投資率境界 - 小数,対象HTMLをブラウザ自動テストで開けること,"investRate=33.3%、salary=3,000,000円、その他はデフォルト値",投資率欄に33.3を入力して開始し、現金・投資残高を確認する。,投資額が月手取りの33.3%として計算され、NaNやInfinityを出さずに結果表示されること,E2E実行ログ、スクリーンショット、コンソールログ,なし,`spec/仕様書.md` 3.1.2、7.2,"R003, R006",作成済み,Pass,20260531142100,npx playwright test --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
