テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力/データ,手順,期待結果,確認方法/証跡,関連質問ID,仕様,リスクID,状態,実行結果,実行日時,実行コマンド,Bug ID,実行メモ
TC-CB-001,TD001,TV001,TA001,コードベース,Unit,高,年収300万円の月手取り,Node.jsで対象関数を読み込めること,`salaryAnnual=3000000`,`calculateNetMonthly()` を呼び、仕様式の期待値と比較する,±0.01円以内で一致する,自動テスト結果、ログ,なし,2.2 F001,R001,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-002,TD001,TV001,TA001,コードベース,Unit,高,年収400万円の月手取り,同上,`salaryAnnual=4000000`,同上,±0.01円以内で一致する,自動テスト結果、ログ,なし,2.2 F001,R001,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-003,TD001,TV001,TA001,コードベース,Unit,高,年収1000万円の月手取り,同上,`salaryAnnual=10000000`,同上,±0.01円以内で一致する,自動テスト結果、ログ,なし,2.2 F001,R001,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-004,TD002,TV002,TA001,コードベース,Unit,高,年収0円の境界,同上,`salaryAnnual=0`,`calculateNetMonthly()` を呼び、0円期待値と比較する,月手取りが0円になる,自動テスト結果、ログ,なし,2.2 F001,R001,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-005,TD002,TV002,TA001,コードベース,Unit,高,課税所得0円境界,同上,`salaryAnnual=558139.5348837209`,仕様式で課税所得がほぼ0になる年収を確認する,期待値と±0.01円以内で一致する,自動テスト結果、ログ,なし,2.2 F001,R001,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-006,TD002,TV002,TA001,コードベース,Unit,高,所得税ブラケット境界,同上,"課税所得1,950,000円、3,300,000円、6,950,000円相当の年収",各境界相当の年収で `calculateNetMonthly()` を呼ぶ,仕様式の累進税額と±0.01円以内で一致する,自動テスト結果、ログ,なし,2.2 F001,R001,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-007,TD003,TV003,TA001,コードベース,Unit,中,負の年収の例外なし,同上,`salaryAnnual=-1000000`,関数を呼び、戻り値を確認する,例外がなく有限数を返し、仕様式の期待値と一致する,自動テスト結果、ログ,なし,2.2 F001、7.2,"R001, R006",作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-008,TD003,TV003,TA001,コードベース,Unit,中,極大年収の例外なし,同上,`salaryAnnual=100000000`,関数を呼び、戻り値を確認する,例外がなく有限数を返し、仕様式の期待値と一致する,自動テスト結果、ログ,なし,2.2 F001、7.2,"R001, R006",作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-009,TD004,TV005,TA002,コードベース,Unit,高,現役・退職後・年金期間の収入切替,`Math.random()` を安定化できること,"`startAge=64, retirementAge=65, pensionStartAge=66, gapIncome=5000, monthlyPension=7000`",`simulateRetirement()` を呼び、64歳・65歳・66歳の収入行を確認する,64歳は給与、65歳は退職後収入、66歳は年金になる,自動テスト結果、ログ,なし,2.2 F002,R002,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-010,TD005,TV006,TA002,コードベース,Unit,高,退職年齢境界の生活費切替,同上,"`startAge=64, retirementAge=65, pensionStartAge=67, expenseCurrent=100, expenseGap=200`",境界年齢の生活費行を確認する,64歳は現役生活費、65歳は退職後生活費になる,自動テスト結果、ログ,なし,2.2 F002,R002,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-011,TD006,TV007,TA002,コードベース,Unit,高,年金開始が退職前の逆転条件,同上,"`startAge=60, retirementAge=65, pensionStartAge=60`",`simulateRetirement()` を呼び収入行を確認する,64歳までは給与、65歳以降は年金になり、退職後収入は使われない,自動テスト結果、ログ,なし,2.2 F002,R002,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-012,TD007,TV008,TA002,コードベース,Unit,中,月次件数の確認,同上,`startAge=30` と `startAge=100`,月次ヘッダ行数を数える,`startAge=30` は852件、`startAge=100` は12件になる,自動テスト結果、ログ,なし,2.2 F002,R002,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-013,TD008,TV009,TA003,コードベース,Unit,高,投資率20%の積立,同上,"年収3,000,000円、投資率20%、生活費0円、イベント0%",30歳1月の給与行と残高行を確認する,月手取りの20%が投資、80%が現金へ反映される,自動テスト結果、ログ,なし,2.2 F003,R003,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-014,TD009,TV010,TA003,コードベース,Unit,高,年初利息の適用,同上,"`startAge=99, initialInv=100000, annualInterest=0.1`",100歳1月の利息行と投資残高を確認する,投資残高が1.1倍され、表示は丸められる,自動テスト結果、ログ,なし,5.1,R003,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-015,TD010,TV011,TA003,コードベース,Unit,高,投資補填の税金計算,同上,"初期現金0、初期投資200,000、年金0、老後生活費83,000",補填行と残高行を確認する,"補填83,000円、税金16,600円、投資残高100,400円になる",自動テスト結果、ログ,なし,5.2,R003,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-016,TD011,TV012,TA003,コードベース,Unit,高,投資残高不足時の補填,同上,"初期現金0、初期投資60,000、年金0、老後生活費100,000",補填行と残高行を確認する,"補填50,000円、税金10,000円、投資0円、現金-50,000円になる",自動テスト結果、ログ,なし,5.2,R003,作成済み,Fail,20260531170333,npm run test:codebase,BUG-001,実行ログでテストケースIDの失敗を確認
TC-CB-017,TD012,TV013,TA004,コードベース,Unit,中,イベント発生率0%,同上,`eventProb=0`、イベント複数件,出力行を検索する,イベント行が出ない,自動テスト結果、ログ,なし,5.3,R005,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-018,TD013,TV014,TA004,コードベース,Unit,中,イベント発生率100%単一イベント,同上,"`eventProb=1`、`eventTypes=[{name:'検証イベント', cost:12345}]`",出力行を検索し、残高変化を確認する,毎月イベント行が出て費用が差し引かれる,自動テスト結果、ログ,なし,5.3,R005,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-019,TD014,TV017,TA005,コードベース,Unit,高,給与変更の年齢上限,対象関数を読み込めること,"`salaryChanges=[{age:101,salary:9000000}]`",`simulateRetirement()` を呼び年収表示を確認する,年齢101の変更は無効で、基本年収が使われる,自動テスト結果、ログ,なし,2.2 F008,R004,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-020,TD014,TV017,TA005,コードベース,Unit,高,給与変更の年収0無効,同上,"`salaryChanges=[{age:30,salary:0}]`",`simulateRetirement()` を呼び年収表示を確認する,年収0の変更は無効で、基本年収が使われる,自動テスト結果、ログ,なし,2.2 F008,R004,作成済み,Fail,20260531170333,npm run test:codebase,BUG-002,実行ログでテストケースIDの失敗を確認
TC-CB-021,TD015,TV018,TA005,コードベース,Unit,高,開始前給与変更の適用,同上,"`startAge=40, salary=3000000, salaryChanges=[{age:35,salary:4000000}]`",40歳1月の給与行を確認する,"変更後年収4,000,000円が開始月から使われる",自動テスト結果、ログ,なし,2.2 F008,R004,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-022,TD015,TV018,TA005,コードベース,Unit,高,開始同年給与変更の適用,同上,"`startAge=40, salaryChanges=[{age:40,salary:5000000}]`",40歳1月の給与行を確認する,"変更後年収5,000,000円が開始月から使われる",自動テスト結果、ログ,なし,2.2 F008,R004,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-023,TD016,TV019,TA005,コードベース,Unit,高,退職後給与変更の無影響,同上,"`retirementAge=65, salaryChanges=[{age:65,salary:9000000}]`",65歳以降の収入行を確認する,給与変更は給与期間外のため結果に影響しない,自動テスト結果、ログ,なし,2.2 F008,R004,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-024,TD017,TV020,TA005,コードベース,Unit,高,同一年齢の最後追加優先,同上,"`salaryChanges=[{age:35,salary:4000000},{age:35,salary:5000000}]`",35歳1月の給与行を確認する,"最後に追加された年収5,000,000円が使われる",自動テスト結果、ログ,なし,2.2 F008,R004,作成済み,Fail,20260531170333,npm run test:codebase,BUG-003,実行ログでテストケースIDの失敗を確認
TC-CB-025,TD018,TV004,TA001,コードベース,Integration,中,給与・投資額の表示丸め,同上,給与期間、投資率20%,給与行を確認する,`給与: ¥... (投資: ¥...)` が整数円・桁区切りで表示される,自動テスト結果、ログ,なし,3.1.3,R001,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-026,TD019,TV021,TA006,コードベース,Integration,中,デフォルト全期間の出力,同上,初期値相当、イベント0%,出力ヘッダと末尾を確認する,30歳1月から100歳12月まで出力される,自動テスト結果、ログ,なし,3.1.2、3.1.3,"R001, R002",作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-027,TD020,TV023,TA006,コードベース,Integration,中,現金・投資・総資産の同月表示,同上,非整数残高が発生し得る条件,残高行を確認する,現金、投資、総資産が同一行に整数円・桁区切りで表示される,自動テスト結果、ログ,なし,3.1.3,R001,作成済み,Pass,20260531170333,npm run test:codebase,,実行ログでテストケースIDの成功を確認
