テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力/データ,手順,期待結果,確認方法/証跡,関連質問ID,仕様,リスクID,状態,実行日,実行者,実行環境,実結果,判定,証跡リンク,備考
TC-MAN-001,TD015,TV028,TA008,人間実行,Unit,高,給与変更テンプレートinnerHTML監査,sample_app/retirement_simulator.html を確認できるブラウザ環境と記録用メモを用意する。,addSalaryChangeItem内のinnerHTMLテンプレート,TD015 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,innerHTMLは静的テンプレート限定で、ユーザー入力値をHTMLとして埋め込まない。,"レビュー記録, 差分メモ",なし,仕様8.2,R007,作成済み,,,,,,,
TC-MAN-002,TD016,TV045,TA013,人間実行,Unit,中,組み込みconsole.assert補助範囲監査,sample_app/retirement_simulator.html を確認できるブラウザ環境と記録用メモを用意する。,runTests内のconsole.assert,TD016 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,組み込みassertは正式回帰の十分条件ではなく、補助ログとして扱う範囲を説明できる。,"レビュー記録, 差分メモ",なし,"仕様9.4, 10.2","R012, R013",作成済み,,,,,,,
TC-MAN-003,TD035,TV032,TA009,人間実行,E2E,中,文書整合 README注意事項,sample_app/retirement_simulator.html を確認できるブラウザ環境と記録用メモを用意する。,sample_app/README.md の注意事項,TD035 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,仕様の必須注意内容を満たすか、不足は仕様差異候補として記録できる。,"レビュー記録, 差分メモ",なし,"仕様1.4, 3.1.4, README注意事項","R009, R013",作成済み,,,,,,,
TC-MAN-004,TD035,TV032,TA009,人間実行,E2E,中,文書整合 画面注意表示,sample_app/retirement_simulator.html を確認できるブラウザ環境と記録用メモを用意する。,sample_app/retirement_simulator.html の画面注意表示,TD035 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,仕様の必須表示内容を満たすか、不足は仕様差異候補として記録できる。,"レビュー記録, 差分メモ",なし,"仕様1.4, 3.1.4, README注意事項","R009, R013",作成済み,,,,,,,
TC-MAN-005,TD037,TV027,TA008,人間実行,Security,高,結果表示textContent経路,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。",runSimulationから#output.textContentへ代入する経路,TD037 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,結果表示がtextContentを使い、シミュレーション結果をHTMLとして解釈しない。,"レビュー記録, 差分メモ",なし,"仕様3.1.3, 8.2","R007, R008",作成済み,,,,,,,
TC-MAN-006,TD037,TV027,TA008,人間実行,Security,高,ユーザー入力出力経路,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。",給与変更年収表示と入力由来値の出力経路,TD037 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,ユーザー入力がHTMLとして結果表示へ埋め込まれない。,"レビュー記録, 差分メモ",なし,"仕様3.1.3, 8.2","R007, R008",作成済み,,,,,,,
TC-MAN-007,TD038,TV028,TA008,人間実行,Security,高,innerHTML使用箇所全件監査,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。",sample_app/retirement_simulator.html 内のinnerHTML使用箇所,TD038 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,innerHTML使用が静的テンプレートに限定され、ユーザー入力値を含まない。,"レビュー記録, 差分メモ",なし,仕様8.2,R007,作成済み,,,,,,,
TC-MAN-008,TD048,TV040,TA011,人間実行,Accessibility,中,入力ラベル,sample_app/retirement_simulator.html を確認できるブラウザ環境と記録用メモを用意する。,全入力欄のラベル文言,TD048 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,支援技術上も項目の意味を推測できる文言である。,"手動確認記録, スクリーンショット",なし,"仕様9.4, 11.2, 13 C003",R011,作成済み,,,,,,,
TC-MAN-009,TD048,TV040,TA011,人間実行,Accessibility,中,ボタン文言,sample_app/retirement_simulator.html を確認できるブラウザ環境と記録用メモを用意する。,"開始, 給与変更表示, 追加, 削除ボタン",TD048 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,操作目的を推測できる文言である。,"手動確認記録, スクリーンショット",なし,"仕様9.4, 11.2, 13 C003",R011,作成済み,,,,,,,
TC-MAN-010,TD048,TV040,TA011,人間実行,Accessibility,中,結果表示,sample_app/retirement_simulator.html を確認できるブラウザ環境と記録用メモを用意する。,シミュレーション結果の見出しと金額行,TD048 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,月次結果と残高が読み取りやすく、WCAG正式適合対象外の基本確認として記録できる。,"手動確認記録, スクリーンショット",なし,"仕様9.4, 11.2, 13 C003",R011,作成済み,,,,,,,
TC-MAN-011,TD050,TV042,TA012,人間実行,Regression,高,正式HTML存在時の補完設計,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。",sample_app/test_retirement_simulator.html が存在する前提,TD050 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,"本体コピー依存の限界を、仕様式から独立した期待値, E2E, コードレビューで補完できる。","レビュー記録, 差分メモ",なし,仕様9.4,"R012, R013",作成済み,,,,,,,
TC-MAN-012,TD050,TV042,TA012,人間実行,Regression,高,正式HTML欠落時の補完設計,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。",sample_app/test_retirement_simulator.html が欠落する前提,TD050 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,欠落を未実装またはN/A候補として残し、独立期待値とE2Eとコードレビューで補完できる。,"レビュー記録, 差分メモ",なし,仕様9.4,"R012, R013",作成済み,,,,,,,
TC-MAN-013,TD051,TV043,TA012,人間実行,Regression,中,既存HTML結果画面証跡,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。",既存HTMLテストを実行する場合の結果画面,TD051 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,ブラウザ結果画面のスクリーンショットまたはHTML保存を証跡として定義できる。,"レビュー記録, 差分メモ",なし,仕様9.4,"R012, R013",作成済み,,,,,,,
TC-MAN-014,TD051,TV043,TA012,人間実行,Regression,中,既存HTML実行ブラウザ証跡,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。",既存HTMLテストを実行する場合の実行ブラウザ,TD051 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,実行ブラウザ名とバージョンを証跡として定義できる。,"レビュー記録, 差分メモ",なし,仕様9.4,"R012, R013",作成済み,,,,,,,
TC-MAN-015,TD051,TV043,TA012,人間実行,Regression,中,既存HTML失敗時ログ証跡,"spec/仕様書.md, sample_app/README.md, sample_app/retirement_simulator.html, テスト成果物を参照できる。",既存HTMLテストを実行する場合の失敗時ログ,TD051 の対象資料と対象箇所を確認し、この行の確認対象だけを証跡に記録する。,失敗時のコンソールログまたは画面ログを証跡として定義できる。,"レビュー記録, 差分メモ",なし,仕様9.4,"R012, R013",作成済み,,,,,,,
