テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力/データ,手順,期待結果,確認方法/証跡,関連質問ID,仕様,リスクID,状態,実行結果,実行日時,実行コマンド,ブラウザ/プロジェクト結果,Bug ID,実行メモ
TC-E2E-001,TD030,TV020,TA006,E2E自動,E2E,高,初期値のまま開始,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,初期表示値を変更せず開始ボタンをクリック,TD030 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,"月次結果, 現金, 投資, 総資産, 注意表示が表示され、#outputテキストが更新される。","Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"README使い方, 仕様2.1, 3.1","R002, R003, R009, R013",作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-002,TD031,TV021,TA006,E2E自動,E2E,高,README使用例 デフォルト,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,初期値のまま開始,TD031 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,結果表示まで到達し、30歳1月の給与行と総資産行を確認できる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"README使用例, 仕様2.1, 3.1","R002, R003, R005, R009, R013",作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-003,TD031,TV021,TA006,E2E自動,E2E,高,README使用例 キャリアアップ,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"salary=4000000, 30歳5000000円と40歳7000000円の給与変更, investRate=25, interest=4",TD031 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,結果表示まで到達し、35歳以後または40歳以後の年収表示が確認できる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"README使用例, 仕様2.1, 3.1","R002, R003, R005, R009, R013",作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-004,TD031,TV021,TA006,E2E自動,E2E,高,README使用例 早期退職,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"salary=6000000, retirementAge=55, investRate=30, interest=5, gapIncome=50000",TD031 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,55歳以後に退職後収入が表示され、結果表示まで到達する。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"README使用例, 仕様2.1, 3.1","R002, R003, R005, R009, R013",作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-005,TD031,TV021,TA006,E2E自動,E2E,高,README使用例 資産枯渇,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"initialCash=0, initialInv=0, expenseRetired=300000, retirementAge=65, pensionStartAge=65",TD031 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,マイナス資産を含む結果表示まで到達し、例外停止しない。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"README使用例, 仕様2.1, 3.1","R002, R003, R005, R009, R013",作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-006,TD031,TV021,TA006,E2E自動,E2E,高,README使用例 イベント発生,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"eventProb=100, eventTypesは通常定義",TD031 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,イベント行が表示され、結果表示まで到達する。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"README使用例, 仕様2.1, 3.1","R002, R003, R005, R009, R013",作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-007,TD032,TV016,TA005,E2E自動,E2E,高,給与変更トグル操作,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,給与変更設定表示ボタンをクリック,TD032 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,給与変更設定エリアが表示または非表示に切り替わる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様2.2 F008, 3.1.2","R005, R013",作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-008,TD032,TV016,TA005,E2E自動,E2E,高,給与変更追加操作,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,給与変更設定を表示して追加ボタンをクリック,TD032 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,給与変更の年齢欄と年収欄と削除ボタンが追加される。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様2.2 F008, 3.1.2","R005, R013",作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-009,TD032,TV016,TA005,E2E自動,E2E,高,給与変更削除操作,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,給与変更設定を1件追加して削除ボタンをクリック,TD032 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,追加した給与変更行が画面から削除される。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様2.2 F008, 3.1.2","R005, R013",作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-010,TD032,TV016,TA005,E2E自動,E2E,高,給与変更開始反映,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"35歳4,000,000円の給与変更を追加して開始",TD032 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,"結果の35歳以後の給与行に年収4,000,000円が反映される。","Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様2.2 F008, 3.1.2","R005, R013",作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
