テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力/データ,手順,期待結果,確認方法/証跡,関連質問ID,仕様,リスクID,状態,実行結果,実行日時,実行コマンド,Bug ID,実行メモ
TC-CB-001,TD001,TV001,TA001,コードベース,Unit,高,年収0円の月手取り,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salaryAnnual=0,TD001 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,仕様式で算出した内部値と±0.01円以内で一致する。表示確認がある場合はMath.round後の整数円と桁区切りに一致する。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F001, 5.1","R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-002,TD001,TV001,TA001,コードベース,Unit,高,"年収1,200,000円の月手取り",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salaryAnnual=1200000,TD001 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,仕様式で算出した内部値と±0.01円以内で一致する。表示確認がある場合はMath.round後の整数円と桁区切りに一致する。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F001, 5.1","R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-003,TD001,TV001,TA001,コードベース,Unit,高,"年収3,000,000円の月手取り",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salaryAnnual=3000000,TD001 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,仕様式で算出した内部値と±0.01円以内で一致する。表示確認がある場合はMath.round後の整数円と桁区切りに一致する。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F001, 5.1","R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-004,TD001,TV001,TA001,コードベース,Unit,高,"年収10,000,000円の月手取り",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salaryAnnual=10000000,TD001 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,仕様式で算出した内部値と±0.01円以内で一致する。表示確認がある場合はMath.round後の整数円と桁区切りに一致する。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F001, 5.1","R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-005,TD002,TV002,TA001,コードベース,Unit,高,"課税所得1,950,000円直前",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=2825580.23円で課税所得1,949,999円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット1,950,000円直前の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-006,TD002,TV002,TA001,コードベース,Unit,高,"課税所得1,950,000円境界",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=2825581.40円で課税所得1,950,000円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット1,950,000円境界の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-007,TD002,TV002,TA001,コードベース,Unit,高,"課税所得1,950,000円直後",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=2825582.56円で課税所得1,950,001円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット1,950,000円直後の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-008,TD002,TV002,TA001,コードベース,Unit,高,"課税所得3,300,000円直前",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=4395347.67円で課税所得3,299,999円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット3,300,000円直前の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-009,TD002,TV002,TA001,コードベース,Unit,高,"課税所得3,300,000円境界",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=4395348.84円で課税所得3,300,000円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット3,300,000円境界の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-010,TD002,TV002,TA001,コードベース,Unit,高,"課税所得3,300,000円直後",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=4395350.00円で課税所得3,300,001円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット3,300,000円直後の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-011,TD002,TV002,TA001,コードベース,Unit,高,"課税所得6,950,000円直前",sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryAnnual=8639533.72円で課税所得6,949,999円相当を作る",TD002 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"所得税ブラケット6,950,000円直前の税率が仕様配列に一致し、月手取りが±0.01円以内で一致する。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F001,"R001, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
